codigo;nombre ;carrera;ingreso;promedio;;;;;
1830716;Federico Valenzuela;ENFERMERIA;1960;3,52;;;;;
1738374;Gabriela Ruiz;INGENIERIA METALURGICA;1958;4,74;;;;;
1781854;Roberto Lara;DERECHO;1978;3,16;;;;;
2441138;María Pérez;FISICA;1967;4,56;;;;;
1891966;Mario Fernández;MEDICINA;1957;3,64;;;;;
2307011;Camila Barrera;TRABAJO SOCIAL;2013;3,05;;;;;
1198282;Esteban Gómez;DERECHO;2012;3,32;;;;;
1032066;Fernando Fernández;FISICA;1987;2,83;;;;;
2663276;Carolina Bautista;INGENIERIA DE SISTEMAS;2000;2,82;;;;;
2750129;Lucas Villalobos;INGENIERIA MECANICA;1977;3,18;;;;;
2767388;Julián Bautista;INGENIERIA CIVIL;1971;4,52;;;;;
2652509;Carlos Ramos;MICROBIOLOGIA Y BIOANALISIS;1979;4,92;;;;;
1130609;Andrea Guzmán;FISICA;2004;4,62;;;;;
1648614;Carlos Navarro;LICENCIATURA EN ESPANOL Y LITERATURA;1972;4,22;;;;;
1855088;Jorge Ruiz;DERECHO;2017;4,04;;;;;
2297528;Andrea González;ENFERMERIA;2014;3,25;;;;;
1289564;Daniela Guzmán;BIOLOGIA;1950;2,92;;;;;
2704714;Lucas Lara;LICENCIATURA EN MUSICA;1973;3,94;;;;;
1239054;Lucía Suárez;MEDICINA;2007;3,3;;;;;
2450558;Jimena Martínez;DERECHO;1998;3,59;;;;;
1472066;Andrés Torres;LICENCIATURA EN MATEMATICAS;2021;2,97;;;;;
1857766;Ricardo Fernández;QUIMICA;1971;3,47;;;;;
1170851;Luisa Romero;INGENIERIA CIVIL;2004;3,54;;;;;
2583964;Gustavo Navarro;INGENIERIA MECANICA;1954;4,76;;;;;
2829966;Alejandro Ramírez;INGENIERIA DE PETROLEOS;1989;2,81;;;;;
1675566;Camila Navarro;INGENIERIA MECANICA;1989;3,17;;;;;
2739407;Lucía Valdés;HISTORIA Y ARCHIVISTICA;1978;3,16;;;;;
1358704;Clara Álvarez;ECONOMIA;1975;5;;;;;
2898134;Alejandro Martínez;MEDICINA;1991;4,49;;;;;
1700247;Camila Olivera;FISICA;2002;4,39;;;;;
1391525;Lucas González;NUTRICION Y DIETETICA;1954;4,09;;;;;
2306092;Jimena Díaz;INGENIERIA DE PETROLEOS;2001;4,05;;;;;
1567885;Emilio López;MEDICINA;1962;4,66;;;;;
2934475;Pablo Ibarra;INGENIERIA INDUSTRIAL;1991;4,87;;;;;
2397334;Lucía Valenzuela;MEDICINA;2002;4,33;;;;;
1175931;Catalina Reyes;ECONOMIA;2013;2,88;;;;;
2836535;Paola Vargas;INGENIERIA ELECTRONICA;1981;3,27;;;;;
1328214;Carlos Miranda;INGENIERIA DE SISTEMAS;1995;3,48;;;;;
1769260;Fernando Sánchez;FISIOTERAPIA;1950;4,38;;;;;
2725737;Clara Ruiz;LICENCIATURA EN INGLES;1985;4,01;;;;;
1705591;Paola Carrasco;INGENIERIA CIVIL;2022;4,82;;;;;
1432912;Adriana López;MICROBIOLOGIA Y BIOANALISIS;2009;3,39;;;;;
2105619;Catalina Lara;INGENIERIA CIVIL;1960;4,5;;;;;
2513205;Luisa Lara;INGENIERIA ELECTRONICA;2008;4,87;;;;;
2788264;Jimena Valdés;INGENIERIA MECANICA;1950;4,6;;;;;
1749833;Eduardo Soria;NUTRICION Y DIETETICA;1974;4,97;;;;;
1688332;Simón Villalobos;INGENIERIA CIVIL;1984;4,58;;;;;
1845643;Simón Díaz;QUIMICA;1954;2,78;;;;;
1623476;Emilio Navarro;MEDICINA;1998;3,73;;;;;
2232364;Andrés Vera;INGENIERIA QUIMICA;2012;4,84;;;;;
1034951;Clara Ruiz;INGENIERIA ELECTRONICA;2001;3,22;;;;;
1820629;Ana Barrera;LICENCIATURA EN ESPANOL Y LITERATURA;1951;4,3;;;;;
1280439;Lucas Molina;FILOSOFIA;2013;3,23;;;;;
1187094;Emilio Carrasco;INGENIERIA CIVIL;1979;3,39;;;;;
2431537;Raúl Bautista;INGENIERIA DE SISTEMAS;1985;3,22;;;;;
1111033;Verónica Torres;HISTORIA Y ARCHIVISTICA;2006;3,65;;;;;
1819984;Andrea Carrasco;LICENCIATURA EN MUSICA;1992;2,78;;;;;
1397978;Ricardo Olivera;LICENCIATURA EN MATEMATICAS;2019;3,02;;;;;
2776181;Carlos Cabrera;LICENCIATURA EN ESPANOL Y LITERATURA;1973;3,9;;;;;
2740943;Diego Valdés;LICENCIATURA EN ESPANOL Y LITERATURA;1951;4,16;;;;;
1969956;Esteban Hernández;INGENIERIA ELECTRONICA;2011;3,2;;;;;
2259313;José Lara;INGENIERIA ELECTRONICA;1982;4,09;;;;;
2692789;Natalia Ortiz;ECONOMIA;1962;4,24;;;;;
1789252;Federico Rodríguez;INGENIERIA METALURGICA;1952;3,71;;;;;
2721601;Melissa Ramos;DISEÑO INDUSTRIAL;1957;4,91;;;;;
2695044;Mariana Suárez;LICENCIATURA EN INGLES;1965;3,17;;;;;
1213951;Roberto Castro;FILOSOFIA;2012;4,72;;;;;
2200457;Alejandro Torres;LICENCIATURA EN MATEMATICAS;1960;3,3;;;;;
2262787;Federico Núñez;INGENIERIA CIVIL;2007;3,61;;;;;
1297181;Simón Acosta;INGENIERIA ELECTRICA;1951;3,98;;;;;
1417620;Pedro Rodríguez;FISICA;1961;4,62;;;;;
1492982;Tomás Romero;INGENIERIA ELECTRICA;1969;4,51;;;;;
1287173;Luisa Ramírez;LICENCIATURA EN MUSICA;1980;3,84;;;;;
2677741;Andrea Reyes;FISIOTERAPIA;1984;4,53;;;;;
1005260;María López;DERECHO;2002;3,35;;;;;
2174762;Gabriela Castro;FILOSOFIA;2021;3,47;;;;;
1520895;Verónica Cabrera;LICENCIATURA EN ESPANOL Y LITERATURA;1974;3,64;;;;;
2241198;Carolina Villalobos;FILOSOFIA;1984;4;;;;;
2363325;Isabella Castro;INGENIERIA MECANICA;1992;3,28;;;;;
1846550;Julián Maldonado;INGENIERIA DE SISTEMAS;1963;3,73;;;;;
1306669;Mauricio Vargas;ECONOMIA;1994;4,71;;;;;
1007125;Isabella Maldonado;GEOLOGIA;1965;4,76;;;;;
2590777;Jorge Gómez;ECONOMIA;2008;3,25;;;;;
1294963;Juan Villalobos;TRABAJO SOCIAL;2016;3,9;;;;;
2131426;Simón Ibarra;INGENIERIA DE SISTEMAS;1980;2,97;;;;;
1154996;Federico Navarro;INGENIERIA QUIMICA;1986;2,92;;;;;
2332015;Gabriela Medina;FISIOTERAPIA;1991;4,63;;;;;
2495102;Lucía Salas;DISEÑO INDUSTRIAL;1973;4,56;;;;;
1300173;Federico Lara;FILOSOFIA;2003;4,29;;;;;
1598473;Daniela Castro;MICROBIOLOGIA Y BIOANALISIS;1976;4,04;;;;;
1573389;Daniela Gómez;QUIMICA;1988;4,7;;;;;
2341253;Lorenzo Soria;ENFERMERIA;1994;4,79;;;;;
1453503;María Reyes;FISICA;1990;4,03;;;;;
2831633;Eduardo Suárez;MEDICINA;1992;2,78;;;;;
2761946;Daniela Gutiérrez;HISTORIA Y ARCHIVISTICA;1968;3,84;;;;;
1691295;Emilio Bautista;FILOSOFIA;2002;4,59;;;;;
1149601;Isabella Ramírez;QUIMICA;1977;3,13;;;;;
2737245;Ricardo Fernández;LICENCIATURA EN ESPANOL Y LITERATURA;1957;4,28;;;;;
1877184;Jimena Acosta;MATEMATICAS;1972;3,44;;;;;
2297830;Carolina Navarro;FISICA;1977;4,66;;;;;
1580419;Federico Olivera;MEDICINA;1978;4,33;;;;;
2092832;Jorge Morales;MEDICINA;1990;2,7;;;;;
1786932;Emilio Guzmán;MATEMATICAS;1956;2,74;;;;;
2414582;Verónica Ramírez;DERECHO;1990;3,16;;;;;
1018689;María Gómez;FISICA;1957;3,56;;;;;
1429706;María Bautista;INGENIERIA QUIMICA;1960;3,48;;;;;
1443486;Gabriela González;MATEMATICAS;2004;2,77;;;;;
1441920;Mario Ruiz;LICENCIATURA EN ESPANOL Y LITERATURA;1979;3,69;;;;;
1052714;Laura Álvarez;MEDICINA;1985;3,79;;;;;
2168358;Eduardo Maldonado;ECONOMIA;1970;3,12;;;;;
1421162;Carlos Lara;DERECHO;1963;4,92;;;;;
2312551;Juliana Ramos;LICENCIATURA EN ESPANOL Y LITERATURA;1986;2,72;;;;;
1446062;Roberto González;ENFERMERIA;2016;4,18;;;;;
1681002;Mario Torres;INGENIERIA ELECTRONICA;2013;3,11;;;;;
2604948;Andrea Ponce;INGENIERIA MECANICA;1981;4,1;;;;;
1209750;Gabriela Cabrera;HISTORIA Y ARCHIVISTICA;1974;3,74;;;;;
1373998;Catalina Cortés;INGENIERIA DE SISTEMAS;2022;3,53;;;;;
2664239;Alejandro Gutiérrez;ECONOMIA;1958;4,75;;;;;
1759915;Daniela Soria;MEDICINA;1964;3,05;;;;;
2702080;Jimena Villalobos;INGENIERIA DE SISTEMAS;1997;4,99;;;;;
1498125;Daniela García;TRABAJO SOCIAL;2010;4,9;;;;;
2199080;Verónica Navarro;NUTRICION Y DIETETICA;1989;4,44;;;;;
2007902;Melissa Morales;DERECHO;2006;3,28;;;;;
2483154;María Pérez;DERECHO;1991;3,16;;;;;
1299930;Diego Acosta;INGENIERIA ELECTRICA;2011;4,53;;;;;
1209515;Emilio Álvarez;INGENIERIA ELECTRICA;1999;3,25;;;;;
1017427;Juliana Álvarez;BIOLOGIA;1973;3,87;;;;;
1078564;Mauricio Hernández;INGENIERIA DE SISTEMAS;2002;4,96;;;;;
2581949;Lorenzo Barrera;INGENIERIA ELECTRICA;2004;4,14;;;;;
1771088;Esteban Bautista;BIOLOGIA;1988;3,49;;;;;
2027082;Gabriela López;HISTORIA Y ARCHIVISTICA;2001;4,24;;;;;
1006404;Carolina Morales;INGENIERIA METALURGICA;1966;4,97;;;;;
2538528;Ricardo Fernández;INGENIERIA CIVIL;1995;3,53;;;;;
1647241;Gabriela Torres;INGENIERIA CIVIL;1996;3,47;;;;;
2631799;Jorge Suárez;INGENIERIA METALURGICA;1999;4,34;;;;;
1260064;Clara Ramírez;LICENCIATURA EN MATEMATICAS;2010;3,44;;;;;
2844524;Lorenzo Barrera;INGENIERIA INDUSTRIAL;1984;3,39;;;;;
2948071;José Ponce;NUTRICION Y DIETETICA;2018;4,62;;;;;
2145807;Jimena Villalobos;DERECHO;2015;3,17;;;;;
2338219;Carlos Suárez;INGENIERIA DE PETROLEOS;1981;4,05;;;;;
1050690;Andrea Cortés;GEOLOGIA;1979;2,92;;;;;
1359943;Carlos Mendoza;MEDICINA;1963;4,66;;;;;
1882772;Lucas Medina;INGENIERIA QUIMICA;1995;3,96;;;;;
1172701;Sofía Valdés;LICENCIATURA EN INGLES;1999;4,09;;;;;
2346842;Daniela Ramírez;INGENIERIA METALURGICA;1972;3,73;;;;;
1013790;Lorenzo Torres;INGENIERIA ELECTRONICA;1953;3,95;;;;;
2091574;Luisa Soria;FISIOTERAPIA;2018;3,17;;;;;
1325373;Mauricio García;NUTRICION Y DIETETICA;1982;3,94;;;;;
1532837;Clara Flores;LICENCIATURA EN INGLES;1972;3,16;;;;;
1925728;Jorge Miranda;INGENIERIA INDUSTRIAL;1990;4,26;;;;;
1705171;Jorge Soria;BIOLOGIA;1972;3,8;;;;;
1235155;Esteban Molina;ECONOMIA;1968;4,56;;;;;
2121230;Juan Núñez;QUIMICA;1977;4,32;;;;;
1376225;Camila Maldonado;DERECHO;1954;4,71;;;;;
1111523;Tomás Ortiz;TRABAJO SOCIAL;1960;3,3;;;;;
1390798;Andrea Valdés;INGENIERIA DE PETROLEOS;1987;4,71;;;;;
1716290;Lucía Morales;FISICA;1981;3,57;;;;;
1135938;Julián Hernández;DISEÑO INDUSTRIAL;1989;2,74;;;;;
1631561;Lucas Soria;INGENIERIA METALURGICA;2020;2,87;;;;;
1091340;Ana Ramos;ECONOMIA;1950;4,1;;;;;
2780291;Pedro Gómez;INGENIERIA MECANICA;1975;4,63;;;;;
1030410;Juliana Ruiz;ENFERMERIA;1966;3,91;;;;;
1722831;Mario Navarro;GEOLOGIA;1996;4,08;;;;;
1107144;Paola González;MATEMATICAS;1960;2,8;;;;;
2621179;Daniela Romero;BIOLOGIA;1992;4,8;;;;;
1297532;Valentina Reyes;FISICA;2006;3,46;;;;;
1763833;Diego Barrera;LICENCIATURA EN ESPANOL Y LITERATURA;1951;4,36;;;;;
1242348;Lorenzo Cortés;INGENIERIA METALURGICA;1969;3,66;;;;;
1059893;Sofía Castro;LICENCIATURA EN MATEMATICAS;1976;3,78;;;;;
2442237;Clara Guzmán;INGENIERIA DE SISTEMAS;1986;4,79;;;;;
2351255;Mauricio Vargas;FILOSOFIA;2005;3,59;;;;;
1124638;Isabella Villalobos;INGENIERIA QUIMICA;2004;4,81;;;;;
2648408;Juan Reyes;DERECHO;1952;4,62;;;;;
1085694;Sofía Valenzuela;HISTORIA Y ARCHIVISTICA;1979;3,53;;;;;
2942745;Diego Villalobos;ENFERMERIA;2000;4,33;;;;;
2776320;Valentina Barrera;LICENCIATURA EN MUSICA;2009;4,54;;;;;
1158074;Pedro Ortiz;BIOLOGIA;1994;3,93;;;;;
1340527;Pedro Ortiz;ECONOMIA;1971;4,33;;;;;
1362085;Gustavo Villalobos;FILOSOFIA;2017;4,52;;;;;
1233811;Gustavo Olivera;LICENCIATURA EN INGLES;2023;3,91;;;;;
1165447;Natalia Ibarra;MICROBIOLOGIA Y BIOANALISIS;2004;4,17;;;;;
2717258;Luisa López;INGENIERIA QUIMICA;1987;4,96;;;;;
2014836;Mario Núñez;BIOLOGIA;2002;2,71;;;;;
1008435;Mario Olivera;INGENIERIA INDUSTRIAL;2004;4,27;;;;;
2879611;Alejandro Barrera;NUTRICION Y DIETETICA;1953;4,81;;;;;
1108695;Fernando Fernández;INGENIERIA QUIMICA;1971;4,22;;;;;
1926601;Sofía González;INGENIERIA CIVIL;1988;4,6;;;;;
2003330;Verónica Barrera;DISEÑO INDUSTRIAL;1960;4,85;;;;;
2557550;Jorge Mendoza;LICENCIATURA EN INGLES;2001;2,73;;;;;
1475842;Valentina Cabrera;BIOLOGIA;1973;4,42;;;;;
2105050;Eduardo Molina;TRABAJO SOCIAL;1970;4,67;;;;;
1860995;Juan Ramos;FISIOTERAPIA;1950;3,96;;;;;
1803936;Lucía Soria;LICENCIATURA EN INGLES;2008;2,86;;;;;
1157356;Raúl Acosta;INGENIERIA DE SISTEMAS;1976;4,54;;;;;
2984133;Esteban Miranda;LICENCIATURA EN INGLES;2023;2,72;;;;;
1963335;Natalia Romero;INGENIERIA METALURGICA;1971;3,59;;;;;
2516862;Pedro Medina;LICENCIATURA EN INGLES;1952;2,71;;;;;
1190074;Gustavo Fernández;DERECHO;1974;4,8;;;;;
2565419;Adriana Martínez;MICROBIOLOGIA Y BIOANALISIS;2003;4,83;;;;;
2912569;Lucas Vera;GEOLOGIA;1984;4,5;;;;;
1239069;María Medina;BIOLOGIA;1980;2,91;;;;;
2788295;Eduardo Navarro;LICENCIATURA EN MATEMATICAS;2017;4,08;;;;;
2564772;Emilio Cortés;INGENIERIA QUIMICA;2008;3,99;;;;;
2540313;Lorenzo Morales;INGENIERIA ELECTRICA;1973;4,51;;;;;
2941673;Natalia Molina;MATEMATICAS;2017;4,37;;;;;
2359882;Jorge Navarro;INGENIERIA METALURGICA;1968;3,56;;;;;
2957612;Gustavo Pérez;INGENIERIA INDUSTRIAL;2018;4,78;;;;;
1749334;Lorenzo Núñez;FISIOTERAPIA;1956;3,07;;;;;
2277914;Clara Miranda;LICENCIATURA EN MUSICA;1970;4,12;;;;;
1244237;Carlos Gómez;ECONOMIA;1964;4,19;;;;;
2296818;Alejandro Romero;QUIMICA;1993;3,04;;;;;
2832694;Camila Carrasco;GEOLOGIA;1973;2,76;;;;;
2113857;Carolina Miranda;LICENCIATURA EN MUSICA;1962;3,75;;;;;
1399406;Ricardo Ibarra;INGENIERIA DE SISTEMAS;1998;3,41;;;;;
1031878;Camila Bautista;TRABAJO SOCIAL;1986;3,11;;;;;
2170197;Verónica Morales;TRABAJO SOCIAL;2019;4,85;;;;;
2270217;Valentina Reyes;HISTORIA Y ARCHIVISTICA;1972;3,28;;;;;
1492505;Adriana Valdés;LICENCIATURA EN MATEMATICAS;1982;4,78;;;;;
2147526;Lucía Ramos;FISICA;1997;4,55;;;;;
1600513;Carolina Valdés;LICENCIATURA EN ESPANOL Y LITERATURA;1961;4,88;;;;;
2545804;Isabella Valdés;MEDICINA;2016;3,03;;;;;
2123353;Lucas Soria;INGENIERIA DE SISTEMAS;2017;3,04;;;;;
2983257;Mario Álvarez;LICENCIATURA EN ESPANOL Y LITERATURA;2002;3,75;;;;;
2730376;Lorenzo Valenzuela;BIOLOGIA;1991;4,75;;;;;
2717333;Pedro Gómez;LICENCIATURA EN INGLES;1961;4,13;;;;;
1165534;Federico Medina;LICENCIATURA EN MUSICA;1965;4,05;;;;;
1195837;Juliana Álvarez;INGENIERIA QUIMICA;1995;4,13;;;;;
1401971;Carolina Miranda;INGENIERIA DE PETROLEOS;1976;4,49;;;;;
2196877;Sofía Álvarez;INGENIERIA CIVIL;1971;4,26;;;;;
2673115;Carlos Navarro;ECONOMIA;1969;2,92;;;;;
1804566;Jorge Flores;INGENIERIA CIVIL;2010;4,89;;;;;
1266388;Julián Mendoza;INGENIERIA CIVIL;1958;3,22;;;;;
1993614;Julián Lara;LICENCIATURA EN MUSICA;1996;3,85;;;;;
1602799;Lucas Torres;INGENIERIA ELECTRONICA;1955;2,76;;;;;
2192319;Jimena Pérez;INGENIERIA ELECTRICA;1972;3,46;;;;;
2600080;Paola Miranda;INGENIERIA ELECTRICA;1978;4,26;;;;;
2926554;Adriana Valdés;QUIMICA;1961;3,35;;;;;
1744881;Melissa Suárez;BIOLOGIA;2003;3,48;;;;;
1723115;Diego Barrera;INGENIERIA MECANICA;1978;3,45;;;;;
2939550;Clara Álvarez;LICENCIATURA EN INGLES;1990;4,53;;;;;
1518791;Eduardo González;INGENIERIA ELECTRONICA;2018;3,36;;;;;
2110437;Luisa Reyes;INGENIERIA DE SISTEMAS;1979;3,65;;;;;
1370839;José Bautista;LICENCIATURA EN ESPANOL Y LITERATURA;2005;3,74;;;;;
1264300;Lucas Pérez;BIOLOGIA;1954;3,46;;;;;
2185025;Fernando Fernández;MEDICINA;1985;4,91;;;;;
2336917;Gabriela Lara;INGENIERIA INDUSTRIAL;1978;2,88;;;;;
2428744;Julián Ortiz;LICENCIATURA EN INGLES;1971;3,41;;;;;
1742150;María Bautista;FISICA;2008;3,49;;;;;
2844325;Luisa Acosta;BIOLOGIA;1951;4,55;;;;;
1848843;Federico Gómez;BIOLOGIA;2001;4,66;;;;;
1308572;Natalia Soria;INGENIERIA CIVIL;1984;4,99;;;;;
2962205;Fernando Miranda;GEOLOGIA;2000;4,3;;;;;
2745134;Valentina Cabrera;NUTRICION Y DIETETICA;2003;4,93;;;;;
2029742;Mario Lara;INGENIERIA DE SISTEMAS;1960;4,3;;;;;
2337990;Fernando Núñez;LICENCIATURA EN MUSICA;1971;2,88;;;;;
1247794;Carlos Suárez;MEDICINA;1983;4,85;;;;;
2920290;Carolina Acosta;INGENIERIA METALURGICA;2006;4,94;;;;;
2380831;Juan Miranda;MEDICINA;2004;4,2;;;;;
2717029;Daniela González;FISICA;1971;4,52;;;;;
2066282;Valentina Delgado;LICENCIATURA EN INGLES;2007;3,66;;;;;
1899396;Camila Ramos;INGENIERIA CIVIL;2001;3,99;;;;;
2233539;Ricardo Gómez;DERECHO;1999;4,92;;;;;
1229525;Esteban Cabrera;ENFERMERIA;2022;4,08;;;;;
1864589;Verónica Vera;TRABAJO SOCIAL;1982;2,82;;;;;
2887200;Diego Núñez;LICENCIATURA EN ESPANOL Y LITERATURA;2022;3,99;;;;;
1541610;Camila Martínez;LICENCIATURA EN INGLES;1972;3,84;;;;;
1105043;Catalina Ramírez;FILOSOFIA;1981;4,05;;;;;
1838446;Fernando Gutiérrez;INGENIERIA METALURGICA;1998;4,51;;;;;
2316809;Gabriela Pérez;FILOSOFIA;2018;2,88;;;;;
1446199;Julián Lara;INGENIERIA ELECTRICA;1964;2,89;;;;;
1876866;Emilio Castro;NUTRICION Y DIETETICA;1951;3,41;;;;;
2905016;Clara Maldonado;MATEMATICAS;1982;4,05;;;;;
1777072;Marta Delgado;NUTRICION Y DIETETICA;1974;3,33;;;;;
2921008;Andrea Valdés;MEDICINA;1974;4,31;;;;;
2213620;Camila Valdés;INGENIERIA DE PETROLEOS;1971;3,43;;;;;
1623275;Adriana Díaz;INGENIERIA DE PETROLEOS;2020;4,66;;;;;
2383534;Isabella Delgado;INGENIERIA ELECTRICA;1986;3,55;;;;;
1158631;Carolina Valenzuela;INGENIERIA QUIMICA;2007;3,79;;;;;
1746819;Lucía Villalobos;INGENIERIA METALURGICA;1965;4,17;;;;;
2842131;Valentina Vargas;DERECHO;1981;3,92;;;;;
1682962;Mariana Suárez;HISTORIA Y ARCHIVISTICA;1994;2,93;;;;;
2048727;Laura Fernández;MEDICINA;1978;4,65;;;;;
1370383;Lucía Suárez;INGENIERIA QUIMICA;2005;2,86;;;;;
1863284;Federico Díaz;TRABAJO SOCIAL;1972;4;;;;;
1867019;Mauricio Cabrera;INGENIERIA DE PETROLEOS;1974;2,9;;;;;
2681994;Andrés Morales;INGENIERIA METALURGICA;1986;4,44;;;;;
1617392;Lucas Bautista;MEDICINA;2016;4,44;;;;;
1470878;Jimena Olivera;FISIOTERAPIA;1989;3,72;;;;;
1603040;Marta Medina;QUIMICA;1961;4,33;;;;;
1865916;María Ramírez;INGENIERIA DE SISTEMAS;1967;3,41;;;;;
1899871;Isabella Salas;FISICA;1968;3,19;;;;;
2824732;Andrés Vera;FISIOTERAPIA;2001;2,73;;;;;
1227551;Alejandro López;INGENIERIA CIVIL;2005;2,83;;;;;
2794674;Ricardo Ortiz;FISIOTERAPIA;2013;3,77;;;;;
2726668;Gabriela Ortiz;QUIMICA;1998;4,15;;;;;
1261438;Adriana Núñez;MEDICINA;2001;3,11;;;;;
1577066;Verónica Hernández;FISIOTERAPIA;1984;3,26;;;;;
2773815;Laura Pérez;BIOLOGIA;1982;4,06;;;;;
1555269;Diego Romero;INGENIERIA INDUSTRIAL;1957;3,92;;;;;
1236933;Marta Flores;FILOSOFIA;1969;3,01;;;;;
1072431;Marta Soria;MEDICINA;2014;4,42;;;;;
2631496;Mariana Ramírez;INGENIERIA MECANICA;2018;3,43;;;;;
1964501;Camila Suárez;HISTORIA Y ARCHIVISTICA;1988;3,09;;;;;
2682893;Isabella Fernández;FISICA;2019;4,12;;;;;
1012878;Paola López;FILOSOFIA;1997;4,47;;;;;
1597843;Juliana Cabrera;INGENIERIA MECANICA;2022;4,72;;;;;
2730870;Simón Barrera;INGENIERIA METALURGICA;1958;4,32;;;;;
1918156;Gabriela Reyes;HISTORIA Y ARCHIVISTICA;1991;4,36;;;;;
1379821;Catalina Martínez;MATEMATICAS;1985;3,64;;;;;
2887134;Clara Villalobos;MATEMATICAS;2012;3,99;;;;;
2882291;Tomás López;INGENIERIA DE SISTEMAS;1997;4,49;;;;;
1489009;Valentina Morales;FILOSOFIA;1961;4,14;;;;;
2500410;Daniela Ortiz;BIOLOGIA;1959;3,15;;;;;
2469797;Laura Romero;INGENIERIA INDUSTRIAL;1995;3,26;;;;;
2970576;Pablo Cruz;INGENIERIA ELECTRONICA;2005;3,21;;;;;
2114781;Esteban Bautista;INGENIERIA QUIMICA;2019;4,02;;;;;
2419981;Valentina Carrasco;DERECHO;2012;3,44;;;;;
2779069;Sofía Fernández;INGENIERIA QUIMICA;2010;2,81;;;;;
2378805;Andrea Fernández;LICENCIATURA EN MATEMATICAS;1984;2,99;;;;;
2356781;Isabella Núñez;INGENIERIA MECANICA;1956;4,73;;;;;
2151219;Marta Vera;MATEMATICAS;1981;2,89;;;;;
2087554;Tomás Suárez;LICENCIATURA EN INGLES;1994;3,34;;;;;
2112108;Andrés González;HISTORIA Y ARCHIVISTICA;2017;3,71;;;;;
1627337;Gustavo Delgado;INGENIERIA DE SISTEMAS;2014;4,25;;;;;
1565317;Lucía Mendoza;LICENCIATURA EN ESPANOL Y LITERATURA;2019;3,39;;;;;
1004396;Tomás Mendoza;BIOLOGIA;2002;3,8;;;;;
1085256;Laura Ibarra;NUTRICION Y DIETETICA;1968;3,41;;;;;
1239384;Sofía Ponce;INGENIERIA DE PETROLEOS;2017;3,17;;;;;
2721259;Ricardo Fernández;DERECHO;1988;3,37;;;;;
2557858;Andrés Vega;FILOSOFIA;1999;5;;;;;
1590702;Simón Cortés;INGENIERIA CIVIL;1983;4,46;;;;;
2537897;Julián Medina;FISIOTERAPIA;1990;4,37;;;;;
