codigo;nombre;promedio;;;
181270905;Edward Rivers;4.94;;;
462110234;Jason Holmes;2.96;;;
271201770;Wanda Turner;4.85;;;
351660416;Jennifer Hill;4.51;;;
631041179;Jack Smith;4.06;;;
451591041;Julia Ashley;2.78;;;
442011866;Jeffrey Grosser;3.19;;;
561681283;Dawn Sloan;3.06;;;
601691700;Jackie Hayes;4.96;;;
331920513;Jacob Robinson;4.40;;;
321860384;Cheryl Debar;4.35;;;
301880395;Abigail Alexander;3.68;;;
582100626;Wilmer Stamps;3.07;;;
302210734;Ariana Anderson;3.24;;;
342131641;Lashonda Mclarney;4.37;;;
332021148;Kiara Cortez;3.62;;;
262020708;Cynthia Biron;4.23;;;
341920398;Jason Bailey;4.05;;;
411581081;Manuel Rogers;3.58;;;
521511883;Anna Chambers;3.02;;;
412070082;Shelly Holscher;4.01;;;
342090870;Kurt Beck;3.30;;;
602140785;Shannon Hunt;3.37;;;
432171887;Spencer Tyler;4.15;;;
511231863;Jimmy Lovaglio;3.93;;;
372160440;Mr. Tony Alvarez PhD;3.75;;;
522051845;Trina Gardner;3.79;;;
222001075;Nathaniel Bowman;4.98;;;
162220380;David Musso;3.06;;;
211840211;Mr. Michael Rios;2.94;;;
191721855;Vernon Jones;4.11;;;
111070527;James Montgomery;4.83;;;
202130153;Danielle Cobb;3.24;;;
641831810;John Pittman;2.97;;;
412110922;Lisa Harley;4.73;;;
242170367;Richard Love;4.84;;;
322110257;Angelo Stewart;4.28;;;
191610338;Priscilla Greene;2.98;;;
511480917;Ira Keel;3.20;;;
452110200;Mary Harris;4.56;;;
292220218;Racheal Powley;3.03;;;
301140931;Jacqueline Moore;2.73;;;
312220705;Moses Oland;2.92;;;
512121939;Brady Lewis;3.26;;;
141250669;Margaret Jehle;4.28;;;
312221377;Lisa Campos MD;2.89;;;
222200916;Christine Smith;4.38;;;
581651158;Timothy Daniels;2.85;;;
162170368;Daniel Christensen;4.54;;;
241590221;Debbie Boyd;2.77;;;
602130141;Joseph Christy;3.04;;;
222051281;Timothy Robertson;3.46;;;
181260575;Mary Torres;3.86;;;
141701040;Victoria Mendoza;4.39;;;
101441288;Jim Garcia;3.66;;;
432070669;Daniel Mcguire;2.97;;;
411821566;Bryant Garcia;3.61;;;
681030097;Michelle Malone;2.78;;;
602180978;Brianne Read;3.79;;;
341680392;Dr. Vanessa Schmidt;4.53;;;
641700821;Ernesto Anderson;4.79;;;
571690057;Stephanie Fernandez;4.45;;;
201421155;James Cornelius;3.62;;;
181130132;Michael Rose;3.05;;;
332040354;John Moore;4.45;;;
181990061;Vincent Durham;4.81;;;
571251890;Edith Campbell;3.99;;;
371951543;Dale Patterson;3.62;;;
461641924;Doris Baldwin;4.11;;;
441631339;Christie Hamilton;4.05;;;
181601434;Miguel Thomsen;4.87;;;
462201762;Leroy Smith;4.02;;;
261010225;Sharon Gott;4.80;;;
391700008;Kristine Sweeney;4.06;;;
372160771;Gary Nicholson;3.27;;;
561291291;Michael Downs;2.74;;;
452021525;Lillie Spencer;4.20;;;
522210449;Robert Garcia;4.99;;;
341801097;Junior Torres;3.78;;;
451731217;Michael Wilson;3.02;;;
351491143;Mary Young;4.64;;;
102090845;Stephanie Nelson;3.17;;;
191980011;Glenda Steward;4.66;;;
632081453;Carol Pope MD;2.96;;;
632130894;Guillermo Santiago;3.49;;;
632040762;Angela Johnson;3.62;;;
581850277;Richard Woodruff;2.98;;;
282060747;Taylor Gregory;4.12;;;
302210396;Jessica Gordon;3.41;;;
602130950;Mrs. Megan Bell;3.62;;;
641771873;Maryann Pellot;3.17;;;
201411180;Paula Brown;3.83;;;
372190832;Joye Krueger;4.71;;;
221690488;Brian Reyes;3.82;;;
162151386;Cameron Inman;3.20;;;
372110896;Martha Burke;3.41;;;
452001788;Aline Parsons;3.72;;;
522150096;Samuel Diaz;4.28;;;
241800637;Esther Wolf;3.47;;;
271140687;Rachel Smith;3.66;;;
462080395;Tyrone Bustillos;3.32;;;
142221674;Mary Dunn;2.95;;;
512180361;Alice Mbonu;2.71;;;
321790782;Emily Miles;3.82;;;
461281259;Corey Kramer;4.00;;;
581321245;Joel Golden;4.34;;;
312180453;Kathleen Quashie;3.40;;;
411900645;Lori Ford;3.90;;;
211431848;Tonya Vigil;4.82;;;
521171364;William Hanson;2.87;;;
341440763;Erica Reid;3.38;;;
401411304;Jennifer Tanner;3.69;;;
301090179;Jennifer Johnson;3.24;;;
602081765;Brian Miller;3.85;;;
332150297;Monica Kircher;3.25;;;
261041023;Jonathan Valdez;3.31;;;
142020571;David Higgins;4.46;;;
271111122;Sarah Cooper;4.02;;;
321700958;David Hackett;2.88;;;
202061517;Ricardo Mcintyre;4.51;;;
211510310;Elouise Eisenmann;3.69;;;
601230739;William Hunter;2.73;;;
272211197;Curtis Seal;3.59;;;
442091363;Terry Ponce;4.07;;;
281870546;Rickey Chavez;2.96;;;
282121858;Nicole Delgado;4.90;;;
562131372;James Duran;4.98;;;
201021052;Ashley Hughes;3.17;;;
602031821;Carol Carroll;3.21;;;
371711941;Karen Moon;4.13;;;
441021572;Joyce Nichols;4.15;;;
302051234;Daniel Conley;4.21;;;
431811784;Chris Thompson;3.96;;;
332101791;Kyle Lin;3.51;;;
601390000;James Carter;2.73;;;
142160342;Patricia Lewis;3.10;;;
411301820;Trisha Klein;2.83;;;
462001139;Louis Burnett;3.50;;;
522091185;Marlene Hubbard;4.81;;;
192210825;Laura Smith;3.89;;;
281930471;Edna Cook;3.54;;;
431990130;Adam Cannon;4.68;;;
332111721;Doretha Fowler;4.90;;;
262141850;Susan Fuller;3.30;;;
371711422;Jennifer Barrera;4.13;;;
451241426;Timothy Hawkins;3.83;;;
582171123;Margaret Swedlund;4.87;;;
641690018;Anthony Alexander;4.65;;;
341400222;Emma Harley;3.23;;;
562010053;Judith Davis;3.42;;;
512001247;Henry Hubbard;3.60;;;
511700888;Travis Humphrey;3.59;;;
401240648;Theresa Binette;2.77;;;
222030553;Oscar Harrell;4.30;;;
222181684;Eric Delacruz;4.74;;;
682101706;Brittany Allison;4.43;;;
291251509;Ernest Gonzales;3.22;;;
212000877;Taylor Horne;3.70;;;
461830719;William Browder;3.26;;;
401001086;Anthony Sanchez;4.77;;;
352130933;Isabelle Brady;4.60;;;
142130806;Marie Zuniga;3.11;;;
352030843;Gary Wyatt;3.53;;;
142140062;Robert Larson;4.33;;;
392080568;Robert Garza;4.66;;;
282191432;Ralph Harper;3.03;;;
581840080;Jean Stephens;3.57;;;
411801207;Madison Frazier;4.83;;;
231441302;Harlan Gavin;3.66;;;
351741885;Matthew Pratt;2.91;;;
441061463;Arica Mccullum;4.69;;;
282151114;James Weiss;4.83;;;
312220991;Jenelle Cameron;2.90;;;
391010617;Joseph Brown;4.81;;;
352161019;Kristi Larose;4.77;;;
332081740;Kevin Schmidt;4.72;;;
441660521;David Hancock;3.24;;;
431140555;Megan Ray;2.84;;;
242030055;Elizabeth Mazzaferro;4.04;;;
371161984;Theodore Mccall;3.36;;;
272000291;Arturo Scott;3.07;;;
301671937;Rodney Williams;4.20;;;
561861171;Rachel Goldstein;3.34;;;
571590587;Shannon Watson;3.79;;;
112000733;Anglea Shemwell;3.20;;;
112111973;Lori Mcdonald;3.28;;;
582181598;John Mckinney;2.90;;;
521791494;Jennifer Leonard;3.52;;;
322131885;Virginia Parker;2.79;;;
642211300;Anthony Schmidt;3.83;;;
391940280;Marie Maks;3.54;;;
352211324;Lisa Brooks;2.98;;;
262160637;Lourie Orefice;3.60;;;
292190426;Betty Russell;4.90;;;
231710286;Leon Gailey;4.87;;;
331910088;Joann Morgan;3.73;;;
452030538;Patricia Harrison;3.10;;;
261951535;Joan Bean;2.95;;;
231320109;Edward Sullivan;3.58;;;
572221009;Rachel Sherman;4.36;;;
681840672;Tiffany Coker;4.32;;;
281570884;Tami Valdez;4.73;;;
331491384;Cecil Bishop;3.39;;;
631191370;Jodi Moore;3.73;;;
571020143;Carole Montalvo;4.92;;;
571721707;Alisha Wells;2.96;;;
682001395;Ruben Hebert;2.92;;;
102210526;Andrew Hayes;3.08;;;
322200133;John Senn;4.32;;;
451861817;Jacob Tucker;3.34;;;
112171165;John Kemp;4.82;;;
601031631;Kelly Jackson;3.84;;;
581571490;Jean Davis;3.36;;;
211491671;Monique Bowman;4.26;;;
521010016;Robert Perri;3.21;;;
192120819;Ms. Susan Lopez DVM;4.28;;;
351500537;Pamela Haro;4.14;;;
142090325;Gail Johns;3.78;;;
211700728;Concetta Sanchez;3.39;;;
211470936;Melissa Smith;3.29;;;
161830447;Arthur Rhynes;3.73;;;
302081476;Tyler Johnson;3.50;;;
682130942;Josiah Whitt;4.37;;;
202011806;John Boyd;4.92;;;
412110929;Eric Williams;3.36;;;
461700684;William Goodwin Jr.;2.83;;;
411050561;Hubert Tate;2.73;;;
581741794;Laurie James MD;3.25;;;
642210797;Rachel Masell;2.81;;;
141120198;Frank Smith;3.82;;;
512120244;Lori Foster;3.59;;;
281951530;Audrey Riley;3.12;;;
182151403;Kathleen Zobel;3.56;;;
641361414;Jonathan Smith;4.48;;;
291801094;Nicole Wheat;3.25;;;
312000128;Leah Mitchell;2.79;;;
371621375;Joseph Croes;4.01;;;
222201023;Katrina Harris;3.17;;;
512190508;Millard Morse;2.72;;;
352041747;Linda Shelton;4.95;;;
522121634;Rickey Leon;3.12;;;
321791604;Amber Casey;4.76;;;
451991390;Alan Hickerson;4.76;;;
292170487;Nicole James;4.81;;;
372011606;Leon Homan;4.45;;;
682061993;Gary Ramos;3.33;;;
112101887;Gary Foster;3.89;;;
212130015;Judy Tran;2.97;;;
302090068;William Williams;4.30;;;
221661934;Tyler Moreno;4.20;;;
562110338;Bruce Campbell;3.86;;;
581311539;Rebecca Sheppard;3.98;;;
641680412;Mark Bierman;3.93;;;
401430502;Mary Palmer;3.75;;;
311421419;Kristina Escamilla;3.57;;;
572020226;Samantha Burke;2.72;;;
572121099;Janie Nelsen;4.23;;;
291711504;Jesse Clark;4.20;;;
572221123;Jenifer Newton;3.05;;;
682040709;Scott Estrada;3.92;;;
321510620;Nell Fuqua;3.87;;;
601451375;Gilbert Castro;3.74;;;
391271614;Dorothy Flynn;3.42;;;
321920037;Keith Miller;3.74;;;
442120280;Michael Hesse;3.73;;;
522180290;Daryl Smith;4.37;;;
372041086;Brittney Conrad;3.19;;;
581040997;Dana Hughes;4.71;;;
322111877;Julio Baker;4.19;;;
462080797;Catherine Green;3.67;;;
102031310;Mary Bowden;4.16;;;
112101071;Chad King;4.64;;;
241831556;Carly Sheridan;2.79;;;
371061726;Taylor Miller;2.74;;;
262060428;Donald Munoz;4.45;;;
332081846;Robert Pugh;3.43;;;
372210465;Mildred Wadusky;4.66;;;
141191844;Tiffany Sosa;2.77;;;
291791958;George Dodd;4.13;;;
631650369;Timothy Hale;3.29;;;
331820921;Joan Lindelof;2.90;;;
631401168;Charles Nichols;4.41;;;
342120880;Teresa Strickland;4.08;;;
192171222;Chad Russell;2.73;;;
101810864;Marilyn Wies;3.37;;;
462121193;Thomas Brandt;3.88;;;
212201154;Trevor Landeros;3.66;;;
601040190;David Smith;2.93;;;
511550251;Rosa Perryman;3.81;;;
681591255;Robin Madden;3.42;;;
182120159;Mark Jackson;3.14;;;
191900442;Ivan Olsen;2.98;;;
561861320;Judy Pagan;3.68;;;
562061339;Erik Evans;3.38;;;
242041074;Ella Mckenize;3.86;;;
302060954;Taylor Carter;3.02;;;
291791727;Susan Powell;3.13;;;
442121419;Dennis Gamble;4.64;;;
301721786;Amy Garcia;4.08;;;
572101477;Mary Clark;4.07;;;
331590910;Jose Clum;4.37;;;
321301650;Daniel Doyle;3.99;;;
202050926;Marisol Towle;4.40;;;
211390953;Amanda Fuller;4.49;;;
311471349;Kevin Adams;4.09;;;
262161339;Jason Rogers;4.09;;;
682101763;James Sharpe;3.16;;;
352020845;Mario Chavez;3.95;;;
371641937;Willie Ratliff;4.96;;;
601220394;Carl King;4.97;;;
521820985;Michael Solomon;4.85;;;
201121275;Stephanie Wells;4.87;;;
681750443;Duane Woods;3.79;;;
412031604;Matthew Ortiz;4.30;;;
402211924;Alice Fiaschetti;3.82;;;
271120799;Sara Andersen;4.37;;;
111650011;David Obrien;3.53;;;
332090797;Leonard Terrell;4.69;;;
321711857;Minnie Cho;4.43;;;
141430069;Andrew Fuller;3.43;;;
201731109;Andrea Eliason;3.61;;;
312010140;Courtney Murray;2.84;;;
601940783;Peter Ebert;2.96;;;
161360445;Mary Mitchell;4.44;;;
461870575;Justin Bass;3.44;;;
582220925;Katrina Moran;3.76;;;
442000138;Samuel Manygoats;3.10;;;
271281335;Brenda Thomas;4.70;;;
391670191;Elizabeth Jacquemin;4.97;;;
321501261;Shane Daniel;4.64;;;
202051550;Michael Knowles;4.04;;;
221930612;Brandon Burnett;4.84;;;
631140198;Sarah Barta;4.76;;;
372071739;Kenneth Jones;2.96;;;
332051346;Elizabeth Hoover;4.39;;;
242081489;Christopher Noble;3.85;;;
212110624;Sandra Stargell;3.47;;;
562061488;Cheryl Robertson;3.31;;;
402121655;Wilma Brown;4.84;;;
182190122;Jonathan Burke;4.83;;;
442080317;Harland Herring;4.39;;;
112151781;Justin King;3.84;;;
372120036;Amy Rex;2.84;;;
462200594;Michelle Gonzalez;2.80;;;
351021843;Jaime Rodriguez;3.29;;;
642121861;Rodney Woods;3.85;;;
282051606;Arthur Papenfuss;4.19;;;
401980512;Stephen Morgan;3.82;;;
351651714;Joseph Vargas;3.61;;;
241530318;Erika Watkins;4.10;;;
282100439;Marvin Kidwell;4.72;;;
411591147;April Davidson;3.33;;;
242050565;Josephine Mcelroy;3.94;;;
272030935;Terry Frank;4.29;;;
231430386;Karen Matthew;3.08;;;
231630870;Robert Reed;3.92;;;
372021643;Jarvis Thompson;4.99;;;
232170677;Gary Flowers;4.83;;;
451870003;Anthony Bagaoisan;3.01;;;
602001940;Ann Thompson;3.76;;;
262171650;Susan Condren;3.61;;;
242100560;Paul Pham;3.49;;;
642080996;John Mazzone;3.57;;;
162081226;Phillip Chen;4.08;;;
211891296;Natasha Larock;4.49;;;
322040229;Mrs. Darlene Larson MD;2.71;;;
452201083;Cynthia Minion;2.80;;;
202110324;Jennifer Moss;4.54;;;
101210293;Ashley Rodriguez;3.32;;;
191951367;Richard Robinson;4.24;;;
412201898;Brian Shipp;4.80;;;
561641535;Neil Greene;3.17;;;
411100342;Donald Carnevale;4.70;;;
181451047;Vincent Gonzalez;3.69;;;
291960297;Carol Mcgrath;4.25;;;
212200601;Charles Rodriguez;4.30;;;
511140875;Kristy Haverland;4.72;;;
341771292;Luis Miller;3.59;;;
141771562;Annie Lauria;4.83;;;
431681971;William Stevenson;3.93;;;
292050703;Roma Stanley;4.39;;;
581130990;Tiffany Ford;4.24;;;
522201954;Rodney Lackey;2.74;;;
352061412;Joshua Kelly;4.57;;;
102160688;Enid Jones;3.91;;;
391721170;Jennifer Anderson;3.99;;;
161890135;Julie Foster;4.78;;;
391510466;Brandon Wagner;3.74;;;
631421348;Andrew Stevens;3.95;;;
202030702;Joy Ferguson;2.86;;;
562021199;Juan Mongelli;3.15;;;
681250603;Christopher Green;4.97;;;
102210744;Patricia Schmidt;3.27;;;
442001870;Makayla Brown;4.31;;;
411781693;Felicita Woodside;2.99;;;
401751558;Elizabeth Smith;4.70;;;
141390094;Consuelo Gallagher;3.58;;;
582060295;Kara Stafford;4.78;;;
222171866;Leota Mcgregor;3.99;;;
101321640;Zachary Lopez;4.63;;;
231970410;Tony Barden;3.40;;;
242171432;Robert Smith;4.10;;;
601581581;Catherine Pemberton;3.50;;;
211801083;Deborah Morgan;3.51;;;
261690305;Michael Whittaker;3.59;;;
291941709;Edgar Archer;2.75;;;
342060088;Debra Gray;4.51;;;
352041496;Chelsea Kramer;4.97;;;
211411584;Enoch Habeck;4.88;;;
411771844;Isaac Bell;4.95;;;
192021269;Alex Lafever;2.75;;;
352130029;Mary Allen;4.84;;;
241970854;Joseph Lang;3.70;;;
112211098;Jasmine Medina;4.99;;;
202111612;Juanita Perez;4.88;;;
601621045;John Lopez;3.57;;;
642150109;David Kretchmar;3.71;;;
112141975;Michael Rodriguez;3.49;;;
521251460;Oscar Nieman;2.71;;;
451671263;Gabriela Sparks;4.24;;;
331970267;Edgar Mcbride;4.13;;;
522020871;Danny Reese;3.28;;;
102141685;Sandra Staplins;4.60;;;
211611729;Melissa Salazar;3.81;;;
562060189;Bill Carpenter;4.56;;;
352001957;Adriana Green;2.84;;;
232131054;Jena Irish;4.16;;;
261130295;Amy Lee;4.71;;;
271530339;Jason Guest;4.48;;;
561910658;Heidi Wilson;3.41;;;
292051791;Michael Hahl;3.22;;;
522200034;Jeff Cole;3.62;;;
572060237;Christopher Larkin;4.42;;;
242041791;Michael Davis;3.60;;;
352130373;Clark Young;3.72;;;
681091776;Ryan Duncan;3.35;;;
322141884;Inez Bowen;4.28;;;
561090459;Thomas Bailey;2.82;;;
631521463;Eva Ferrini;4.95;;;
161500795;Thomas Stephens;3.44;;;
111411685;James Wright;3.19;;;
602050334;Steve Hurley;3.51;;;
281790974;Christi Hunter;3.30;;;
241401258;Caitlyn Perry;3.66;;;
231271686;Marie Jackson;4.00;;;
432020559;Jennifer Arnold;4.73;;;
212021806;Tina Krawiec;3.33;;;
222161509;Zachary Hill;3.89;;;
241360484;Ralph Cardin;4.12;;;
332120154;Cheryl Lambert;2.73;;;
112090522;Joseph Burgess;2.95;;;
411700238;Robert Jackson;4.81;;;
161411199;Nancy Evans;3.15;;;
301630116;Angela Singleton;3.69;;;
101200556;Karen Lewis;2.80;;;
682210971;Jennifer Robbins;3.26;;;
681580149;Earl Middlebrook;3.27;;;
462181417;Stacey Wells;4.70;;;
582051349;Leona Mcdonald;4.05;;;
402160005;Karen Knight;4.29;;;
272070441;Susan Danos;4.19;;;
241730576;Kathy Chambers;4.85;;;
161780823;Amy Jones;3.88;;;
572020537;Scott Miller;3.93;;;
572060598;Warren Kulig;4.36;;;
632010549;Jon Barnes;2.82;;;
182131061;James Terry;3.59;;;
562141260;Madison Rivera;3.90;;;
341550542;Marcie Wilson;4.32;;;
161400108;James Taylor;3.69;;;
581101906;Helen Ratz;4.70;;;
451301597;Theresa Ellis;4.28;;;
161101560;Charlie Coy;4.34;;;
342161865;James Rodriguez;4.03;;;
451970848;Frances Rackley;3.11;;;
161971983;Juan Lewis;3.35;;;
262070839;Joseph Walls;4.63;;;
452110209;Nathan King;3.16;;;
201550501;Michele Hunter;3.25;;;
322071897;Donna Nielsen;4.81;;;
211600670;Karrie Moore;3.19;;;
331510865;Adam Camacho;2.77;;;
642161197;Thurman Mccuen;4.34;;;
522041713;Amber Clayton;3.33;;;
432040236;Mitchel Selby;3.53;;;
391441802;Christopher Davis;4.37;;;
332071017;Tracy Tebow;4.67;;;
452121710;Christopher Rodriguez;3.87;;;
432101224;Anne Edwards;3.28;;;
112051457;Jeffrey Rivera;4.75;;;
682061162;Charles Foster;2.84;;;
631881257;Shelly Parker;3.05;;;
512110019;Jennifer Connor;4.70;;;
461211148;Mario Yoder;3.39;;;
521000479;Carmelo Krumholz;4.60;;;
372061790;Carrie Esparza;2.75;;;
631171923;Kimberly Martinez;4.70;;;
241461638;Jimmy Boyer;3.81;;;
331090113;Kathryn Damico;3.00;;;
282120820;Raymond Huffman;4.16;;;
242200877;Joel Lee;4.07;;;
222060811;Katrina Ellis;4.29;;;
442201896;Kristen Hough;2.72;;;
221290626;Richard Steele;3.74;;;
222030038;Jimmie Brown;4.40;;;
412030802;Daniel Green;3.51;;;
312111391;Michelle Maciver;3.25;;;
432220567;Sabrina Johnson;4.93;;;
232141126;Ken Edwards;4.85;;;
511270427;Larry Arnold;3.92;;;
312150204;Mia Smith;2.96;;;
632021682;Patrick Williams;3.92;;;
462131463;Brian Rodriguez;3.27;;;
302120436;Terri Jenkins;3.22;;;
602171253;Brian Beddingfield;4.56;;;
561980126;Melissa Nelson;4.83;;;
392221668;Courtney Holloway;4.19;;;
161600974;Steven Brown;4.35;;;
341731338;Sarah Reimers;3.84;;;
